date,OPEN,CLOSE,HIGH,LOW,VOLUME
2020-09-07,221.5,221.32,224.2,220.5,59334960
2020-09-08,222.0,217.68,222.48,216.29,70024350
2020-09-09,217.01,218.0,218.88,216.8,48062980
2020-09-10,218.24,220.6,222.15,215.79,71198540
2020-09-11,221.46,221.07,223.15,219.75,45688920
2020-09-14,222.31,227.37,227.54,222.13,62906200
2020-09-15,228.22,231.5,231.95,227.39,61905270
2020-09-16,231.72,231.06,232.6,230.15,39605930
2020-09-17,229.1,231.46,231.75,228.57,49126710
2020-09-18,232.0,230.3,232.59,229.0,54624840
2020-09-21,229.88,226.25,230.07,223.49,70303620
2020-09-22,226.0,229.88,230.28,225.46,66622080
2020-09-23,230.02,228.5,232.1,227.61,71299220
2020-09-24,227.63,228.17,231.1,225.75,81995110
2020-09-25,229.0,228.24,229.3,226.25,60248340
2020-09-28,228.79,228.63,229.55,227.35,64519830
2020-09-29,228.88,225.48,228.88,223.1,90417190
2020-09-30,224.5,229.14,230.75,223.25,78604470
2020-10-01,229.08,227.23,229.9,226.86,77828210
2020-10-02,210.4,208.8,211.39,206.5,114322450
2020-10-05,209.65,208.89,210.69,207.72,45601880
2020-10-06,209.0,211.18,212.99,208.35,87529560
2020-10-07,211.3,210.6,212.66,209.03,62052620
2020-10-08,211.2,207.97,211.43,207.26,49545460
2020-10-09,208.47,205.38,208.96,204.4,65518060
2020-10-12,205.97,206.18,208.49,204.57,52321380
2020-10-13,205.92,205.03,207.64,204.77,46023280
2020-10-14,205.06,207.83,208.0,204.78,46840170
2020-10-15,207.46,203.85,207.57,201.95,76502030
2020-10-16,204.02,201.17,204.25,200.5,66258500
2020-10-19,201.55,202.78,204.0,201.55,47421400
2020-10-20,203.0,209.54,209.76,202.5,80919110
2020-10-21,210.04,210.33,213.25,208.9,82509750
2020-10-22,209.58,210.21,211.53,207.84,46859510
2020-10-23,210.0,214.5,214.73,209.15,75361490
2020-10-26,213.4,211.1,214.45,210.5,58921210
2020-10-27,211.5,207.64,212.29,206.66,61084680
2020-10-28,206.94,204.73,206.94,202.3,70171420
2020-10-29,206.5,205.58,207.33,203.64,91505270
2020-10-30,203.62,200.99,204.84,200.61,83659620
2020-11-02,200.45,204.5,204.59,196.15,82335660
2020-11-03,205.7,209.2,211.11,203.8,90368710
2020-11-05,214.4,216.7,218.65,211.43,152554980
2020-11-06,215.8,217.5,218.29,213.0,94997390
2020-11-09,220.0,228.05,231.3,218.7,217536750
2020-11-10,227.0,236.1,237.6,226.27,229603230
2020-11-11,237.0,244.2,245.98,236.89,234843470
2020-11-12,243.31,242.08,245.72,240.22,151436920
2020-11-13,242.01,242.99,244.14,238.62,106150870
2020-11-16,244.14,247.99,248.73,244.0,113945190
2020-11-17,248.0,245.7,249.84,243.41,94918470
2020-11-18,245.1,242.71,247.23,242.59,60088940
2020-11-19,242.5,240.27,243.49,237.34,97143730
2020-11-20,239.58,239.42,240.77,236.57,48799870
2020-11-23,240.45,239.7,243.87,238.52,74832280
2020-11-24,241.65,247.33,247.85,239.57,84515780
2020-11-25,248.0,251.91,252.2,246.55,133397740
2020-11-26,252.3,250.1,252.88,247.44,79917590
2020-11-27,250.3,251.59,252.26,248.03,51431130
2020-11-30,249.72,249.63,251.0,245.98,112141620
2020-12-01,250.75,260.81,260.99,249.8,132069500
2020-12-02,260.05,264.06,264.99,258.8,93452130
2020-12-03,264.5,263.14,264.63,260.85,62240840
2020-12-04,264.63,270.0,270.84,264.5,94637930
2020-12-07,269.0,274.36,276.13,268.1,94793660
2020-12-08,274.5,275.49,276.66,271.52,78859920
2020-12-09,276.4,276.89,279.42,275.87,73639980
2020-12-10,276.55,282.2,282.2,275.2,75658690
2020-12-11,282.5,283.73,284.6,279.78,76101950
2020-12-14,285.01,279.95,287.74,277.1,90415250
2020-12-15,278.53,278.7,283.76,276.07,84193230
2020-12-16,278.0,278.35,280.84,276.14,54748960
2020-12-17,279.81,278.5,285.16,276.54,92138550
2020-12-18,277.22,270.16,277.4,268.52,99271840
2020-12-21,266.2,261.79,267.34,259.7,120517950
2020-12-22,259.55,262.04,267.42,257.05,105490480
2020-12-23,262.25,270.1,270.29,260.22,67938790
2020-12-24,271.98,269.32,272.82,267.13,42614450
2020-12-25,269.97,270.64,271.0,268.28,11989750
2020-12-28,270.9,274.7,275.19,269.73,39043430
2020-12-29,275.91,272.0,276.43,271.26,39021610
2020-12-30,272.49,271.65,274.24,270.12,31530660
2021-01-04,274.67,272.0,276.6,270.61,48922920
2021-01-05,272.69,275.2,275.7,270.28,45583910
2021-01-06,275.94,272.93,275.94,271.62,40948520
2021-01-08,275.11,283.64,283.99,275.11,88928790
2021-01-11,282.86,289.49,292.95,279.48,112349520
2021-01-12,290.88,289.99,296.07,286.7,78962360
2021-01-13,291.01,283.78,292.46,283.1,67559080
2021-01-14,284.0,284.79,286.9,279.06,74673700
